EST,Temperature
1/1/2016,38
1/2/2016,36
1/3/2016,40
1/4/2016,25
1/5/2016,20
1/6/2016,33
1/7/2016,39
1/8/2016,39
1/9/2016,44
1/10/2016,50
1/11/2016,33
1/12/2016,35
1/13/2016,26
1/14/2016,30
1/15/2016,43
1/16/2016,47
1/17/2016,36
1/18/2016,25
1/19/2016,22
1/20/2016,32
1/21/2016,31
1/22/2016,26
1/23/2016,26
1/24/2016,28
1/25/2016,34
1/26/2016,43
1/27/2016,41
1/28/2016,37
1/29/2016,36
1/30/2016,34
1/31/2016,46
